date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:12	68908/68908	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2005:23:10%20GMT	https://www.tagheuer.com/alec-monopoly-watches/	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/index.html	(from )
10:53:12	595/595	---M-Z	200	added ('OK')	text/plain	etag:%22653-58bbf28cb7a16-gzip%22	https://www.tagheuer.com/robots.txt		(from )
10:53:12	87808/87808	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8D6CC7995CA2F78	https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2008%20Jul%202019%2005:23:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.googletagmanager.com/gtm.15445.delayed	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:13	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-589f1d8f36d7b-gzip%22	https://www.tagheuer.com/alec-monopoly-watches/javascripts/jquery-2.2.4.min.js	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/javascripts/jquery-2.2.4.min.js	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:13	352545/352545	---M-Z	200	added ('OK')	text/css	etag:%2256121-58bbf28d41524-gzip%22	https://www.tagheuer.com/themes/custom/sapient_classy/css/tag_css/sapient.cas.1.0.0.min.css	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/themes/custom/sapient_classy/css/tag_css/sapient.cas.1.0.0.min.css	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:13	293277/293277	---M-Z	200	added ('OK')	text/css	etag:%224799d-58bbf2910cf81-gzip%22	https://www.tagheuer.com/themes/custom/sapient_classy/css/wide/index-cas.min.css	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/themes/custom/sapient_classy/css/wide/index-cas.min.css	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:13	58185/58185	---M-Z	200	added ('OK')	application/javascript	etag:%22e349-58bbf28d7ce3c-gzip%22	https://www.tagheuer.com/themes/custom/sapient_classy/js/tag_js/sapient.lf_hf.ver.1.0.0.js	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/themes/custom/sapient_classy/js/tag_js/sapient.lf_hf.ver.1.0.0.js	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:14	27079/27079	---M-Z	200	added ('OK')	text/css	etag:%2269c7-589f1d8e8fda1-gzip%22	https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css	(from https://www.tagheuer.com/alec-monopoly-watches/)
10:53:14	15086/15086	---M--	200	added ('OK')	image/ico	etag:%223aee-581b3b51cf58e%22	https://www.tagheuer.com/alec-monopoly-watches/favicons/favicon.ico	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/favicons/favicon.ico	(from https://www.tagheuer.com/alec-monopoly-watches/)
